Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Full Description,Description,Estimated Revenue Range,Operating Status,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Company Type,Investor Type,Investment Stage,Categories,Funding Status,Last Funding Date,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Number of Investors,Acquisition Status,Number of Exits (IPO),Number of Portfolio Organizations,CB Rank (Investor),Trend Score (90 Days)
CureFit,https://www.crunchbase.com/organization/curefit,1,,"Bangalore, Karnataka, India","CureFit is an Indian health and fitness company offering digital and offline experiences across fitness, nutrition, and mental well-being. With the aim to make fitness fun and easy, CureFit gives workouts a whole new meaning with a range of trainer-led, group workout classes. It operates gyms under Cult.Fit, healthy food offerings under Eat.Fit, mental wellness through Mind.Fit and diagnostic centers through Care.fit. Founded in 2016, the company is headquartered in Bangalore, Karnataka.","CureFit is an Indian health and fitness company offering digital and offline experiences across fitness, nutrition, and mental well-being.",$10M to $50M,Active,,,7/1/2016,day,For Profit,,,"Apps, Fitness, Health Care, Wellness",Late Stage Venture,6/25/2019,8,120000000,USD,120000000,Series D,294575958,USD,294575958,284575958,USD,284575958,24,Made Acquisitions,,1,"1,470",-1.2
Peptilogics,https://www.crunchbase.com/organization/peptilogics,,,"Pittsburgh, Pennsylvania, United States","Peptilogics is developing eCAP technology, a propriety platform with preclinical effectiveness against resistant bacteria and biofilms. The company is dedicated to developing a new class of broad-spectrum antibiotics to address the epidemic of multidrug-resistant bacterial infections.  Peptilogics is a preclinical biotechnology company with demonstrated preclinical in vitro and in vivo effectiness against the priority resistant pathogens.",Peptilogics is an early stage biotech developing a breakthrough technology platform in the antimicrobial segment.,Less than $1M,Active,,,1/1/2013,year,For Profit,,,"Biotechnology, Health Care, Therapeutics",,6/24/2019,3,,,,Venture - Series Unknown,5916761,USD,5916761,5916761,USD,5916761,4,,,,"2,886",-0.7
Mapp Biopharmaceutical,https://www.crunchbase.com/organization/mapp-biopharmaceutical,1,,"San Diego, California, United States","Mapp Biopharmaceutical was created to develop novel pharmaceuticals for the prevention and treatment of infectious diseases, focusing on unmet needs in global health and biodefense. The company has been developing an Ebola therapy for more than a decade and has been working with the United States and Canadian governments to develop this therapy. Mapp Biopharmaceutical was founded in 2003 by Kevin Whaley and Larry Zeitlin. It is headquartered in San Diego, C.A.",Mapp Biopharmaceutical was created to develop novel pharmaceuticals for the prevention and treatment of infectious diseases.,$1M to $10M,Active,,,1/1/2003,year,For Profit,,,"Biotechnology, Pharmaceutical, Therapeutics",,6/23/2019,1,16500000,USD,16500000,Grant,16500000,USD,16500000,,,,1,,,1,"2,494",-1.8
Ajax Health,https://www.crunchbase.com/organization/ajax-health,3,1,"Menlo Park, California, United States",,Ajax Health is a   clinical-stage  Company.,,Active,,,1/1/2017,year,,,,"Clinical Trials, Health Care, Medical Device",Late Stage Venture,6/18/2019,4,15000000,USD,15000000,Series C,315000000,USD,315000000,315000000,USD,315000000,7,,1,3,244,0.5
Evotec,https://www.crunchbase.com/organization/evotec-inc,7,,"Hamburg, Hamburg, Germany","Evotec is a drug discovery alliance and development partnership company focused on rapidly progressing innovative product approaches with leading pharmaceutical and biotechnology companies, academics, patient advocacy groups and venture capitalists. Drug discovery solutions are provided in form of fee-for-service work, integrated drug discovery alliances, development partnerships, licensing of innovative drug candidates and consulting arrangements. The Company operates worldwide and has leading scientific experts, state-of-the-art technologies as well as key therapeutic expertise in the areas of neuroscience, diabetes and complications of diabetes, pain and inflammation, oncology, infectious diseases, respiratory diseases and fibrosis. By leveraging this expertise, Evotec intends to develop best-in-class and first-in-class differentiated therapeutics on its systematic, unbiased and comprehensive infrastructure. Evotec has long-term discovery alliances with partners including Bayer, Boehringer Ingelheim, Celgene, CHDI, Novartis, Novo Nordisk, Pfizer, Sanofi, Takeda, UCB, and others. In addition, the Company has existing development partnerships and product candidates both in clinical and pre-clinical development. These include partnerships with e.g. with Sanofi in the field of diabetes and cancer immunotherapy, with Pfizer in the field of tissue fibrosis, with Bayer in the field of kidney diseases and with Celgene in the field of neurodegenerative diseases.",Evotec is a drug discovery alliance and development partnership company.,,Active,1/15/2014,day,1/1/1993,year,For Profit,,,"Biopharma, Biotechnology, Neuroscience, Pharmaceutical",IPO,6/10/2019,4,23800000,USD,23800000,Grant,159870166,USD,159870166,136070166,USD,136070166,4,Made Acquisitions,,6,216,-0.5
CTRL USA,https://www.crunchbase.com/organization/ctrl-usa,,,"Atlanta, Georgia, United States","Leading American Based Private Investment Company operating within a variety of sectors: Media, Private Equity, Commercial Real Estate, Mergers & Acquisitions.","Private Investment Company operating within a variety of sectors: Media, Private Equity, Commercial Real Estate, Mergers & Acquisitions.",,Active,,,1/7/2014,day,,"Fund Of Funds, Private Equity Firm",Private Equity,"Apps, Artificial Intelligence, Commercial Real Estate, Health Care, Impact Investing, Legal, Media and Entertainment, Real Estate Investment, Stock Exchanges",Early Stage Venture,6/7/2019,1,7500000,USD,7500000,Series A,7500000,USD,7500000,7500000,USD,7500000,,,,,"2,686",1.5
Consumer Reports,https://www.crunchbase.com/organization/consumer-report,,,"Yonkers, New York, United States","Consumer Reports is an independent, nonprofit organization that works side by side with consumers to create a fairer, safer, and healthier world. For 80 years, Consumer Reports has provided evidence-based product testing and ratings, rigorous research, hard-hitting investigative journalism, public education, and steadfast policy action on behalf of consumers' interests.  Unconstrained by advertising or other commercial influences, Consumer Reports has exposed landmark public health and safety issues and have strived to be a catalyst for pro-consumer changes in the marketplace. From championing responsible auto safety standards, to winning food and water protections, to enhancing healthcare quality, to fighting back against predatory lenders in the financial markets, Consumer Reports has always been on the front lines, raising the voices of consumers.","Consumer Reports is a nonprofit organization dedicated to helping consumers make informed choices about products, services, and safety.",,Active,,,1/1/1936,year,For Profit,,,"Association, Consumer, Customer Service, Health Care, Non Profit",,6/6/2019,1,6000000,USD,6000000,Grant,6000000,USD,6000000,,,,1,,,,196,-0.5
LabCorp,https://www.crunchbase.com/organization/laboratory-corporation-of-america,20,1,"Burlington, North Carolina, United States","Labcorp specializes in providing physicians with laboratory tests.  They develop new tests that provide enhanced accuracy and additional clinical information.  Their customers include physicians and their patients, hospitals and managed care plans, private employers, military and law enforcement agencies, and pharmaceutical and biotechnology companies.",LabCorp is a leading global life sciences company.,,Active,7/15/1988,day,1/1/1976,year,For Profit,,,"Biotechnology, Education, Health Care, Innovation Management, Medical",IPO,6/4/2019,1,850000000,USD,850000000,Post-IPO Debt,850000000,USD,850000000,,,,,Made Acquisitions,1,15,145,-0.2
OrganiGram,https://www.crunchbase.com/organization/organigram,1,,"Moncton, Ontario, Canada","As part of Canada’s Marihuana for Medical Purposes Regulations (MMPR), OrganiGram (TSX-V:OGI) is a Licensed Producer of Medical Marijuana. We are dedicated to consistently providing our clients with the highest grade medicine and service.",OrganiGram Inc. is a licensed producer of medical marijuana in Canada,,Active,8/29/2014,day,1/1/2013,year,For Profit,,,"Cannabis, Health Care, Medical",IPO,5/31/2019,2,140000000,USD,140000000,Post-IPO Debt,145000000,USD,145000000,,,,1,,,1,"1,124",-4.5
Tempus,https://www.crunchbase.com/organization/tempus-3,3,,"Chicago, Illinois, United States",Tempus is a technology company that has built an operating system to battle cancer. It is on a mission to redefine how genomic data is used in a clinical setting. Their goal is for each patient to benefit from the treatment of others who came before by enabling physicians to deliver personalized cancer care for patients through interactive analytical and machine learning platform.,Tempus is a technology company that has built an operating system to battle cancer.,,Active,,,1/1/2015,year,For Profit,,,"Artificial Intelligence, Biotechnology, Clinical Trials, Health Care, Health Diagnostics, Information Technology, Medical, Software",Late Stage Venture,5/30/2019,8,200000000,USD,200000000,Series F,520000000,USD,520000000,520000000,USD,520000000,6,,,2,"1,338",4.9
