Organization/Person Name,Number of Investments,Location,Exit Date,Categories,Last Funding Date, Last Funding Amount Currency (in USD) ,Last Funding Type
Center for Innovative Technology,23,"Herndon, Virginia, United States",,"Enterprise Software, Health Care, Information Services, Information Technology, Medical, Non Profit",,,
McCann Worldgroup,1,"New York, New York, United States",,"Advertising, Advertising Platforms, Collaboration, Health Care",,,
LaunchPad Venture Group,55,"Newton, Massachusetts, United States",,"Biotechnology, Business Development, Financial Services, Impact Investing, Venture Capital",,,
Trinity Health,1,"Livonia, Michigan, United States",,"Delivery, Health Care",,,
California Technology Ventures,37,"Pasadena, California, United States",,"Financial Exchanges, Health Care, Venture Capital",,,
EIT Health,19,"Munich, Bayern, Germany",,"Association, Communities, Fitness, Health Care, Lifestyle, Non Profit",,,
PureTech Health,20,"Boston, Massachusetts, United States",6/26/2015,"Biotechnology, Finance",,,
Partners Innovation Fund,31,"Boston, Massachusetts, United States",,"Health Care, Information Technology, Medical Device",,,
Desert Angels,23,"Tucson, Arizona, United States",,"Angel Investment, Biotechnology, Cyber Security, Hardware, Health Diagnostics, Medical Device, SaaS, Software",,,
NRW.BANK,46,"Düsseldorf, Nordrhein-Westfalen, Germany",,"Angel Investment, Biotechnology, Semiconductor",,,
Bonsal Capital,31,"Baltimore, Maryland, United States",,"EdTech, Education, Enterprise Software, Health Care, Information Technology, Venture Capital",,,
Maryland Venture Fund,81,"Columbia, Maryland, United States",,"Big Data, Biotechnology, Cloud Computing, Cyber Security, E-Commerce, Enterprise Software, Health Diagnostics, Information Technology, Life Science",,,
Beiersdorf,1,"Hamburg, Hamburg, Germany",9/27/2002,"Cosmetics, Fitness, Health Care, Wellness",,,
Riverside Partners,6,"Boston, Massachusetts, United States",,"Financial Services, Health Care, Venture Capital",,,
Vedanta Capital,9,"New York, New York, United States",,"Health Care, Medical, Venture Capital",,,
Rampersand,22,"Melbourne, Victoria, Australia",,"Health Care, Internet of Things, Venture Capital",,,
MassVentures,53,"Boston, Massachusetts, United States",,"Health Care, Information Technology, Media and Entertainment, SaaS, Security",,,
Launchpad Digital Health,31,"San Francisco, California, United States",,"Business Development, Health Care, Information Technology, Mobile",,,
Hadean Ventures,4,"Oslo, Oslo, Norway",,"Biotechnology, Financial Services, Life Science, Medical, Pharmaceutical, Venture Capital",,,
bioMerieux,4,"Marcy-l'etoile, Rhone-Alpes, France",7/16/2004,"Biotechnology, Health Diagnostics, Manufacturing",,,
Heartbeat Labs,9,"Berlin, Berlin, Germany",,"Health Care, Health Diagnostics, Medical",,,
Nesta,16,"London, England, United Kingdom",,"Collaboration, Education, Financial Services, Health Care",,,
Blue Heron Capital,18,"Richmond, Virginia, United States",,"Angel Investment, Health Care, Security",,,
Weatherford Capital,2,"Tampa, Florida, United States",,"Education, Financial Services, FinTech, Health Care, Internet, Software",,,
Flexpoint Ford,6,"Chicago, Illinois, United States",,"Finance, Financial Services, Health Care",,,
SFW Capital Partners,7,"Rye, New York, United States",,"Biotechnology, Financial Services, Venture Capital",,,
HealthTech Capital,45,"Los Altos Hills, California, United States",,"Health Care, Medical, mHealth, Venture Capital",,,
Majuven,18,"Singapore, Central Region, Singapore",,"Health Care, Venture Capital, Wellness",,,
Bio-Techne,3,"Minneapolis, Minnesota, United States",5/19/1989,"Biotechnology, Manufacturing",,,
Creative Ventures,11,"San Francisco, California, United States",,"Advanced Materials, Artificial Intelligence, Computer Vision, Construction, Energy, Food and Beverage, Health Care, Manufacturing, Robotics",,,
VSP Global,3,"Rancho Cordova, California, United States",,"Eyewear, Health Care, Health Insurance",,,
Global Innovation Fund,21,"London, England, United Kingdom",,"Communities, Finance, Financial Services, Health Care, Non Profit",,,
Lifeforce Capital,22,"San Francisco, California, United States",,"Finance, Financial Services, Health Care",,,
Apposite Capital,17,"London, England, United Kingdom",,"Financial Services, Health Care, Life Science, Venture Capital",,,
W.L. Gore & Associates,3,"Newark, New Jersey, United States",,"Health Care, Manufacturing, Medical Device",,,
Symrise,3,"Holzminden, Niedersachsen, Germany",12/22/2006,"Biotechnology, Chemical",,,
Blue Cross Blue Shield of Massachusetts,4,"Boston, Massachusetts, United States",,"Association, Communities, Health Care, Non Profit",,,
Alzheimer's Association,3,"Chicago, Illinois, United States",,"Health Care, Non Profit",,,
Blueprint Health,81,"New York, New York, United States",,"Business Development, Fitness, Health Care, Wellness",,,
Skyview Capital,10,"Los Angeles, California, United States",,"Biotechnology, Finance, Management Consulting, Venture Capital",,,
Split Rock Partners,95,"Minneapolis, Minnesota, United States",,"Enterprise Software, Health Care, Venture Capital",,,
SSM Partners,45,"Memphis, Tennessee, United States",,"Health Care, Information Technology, Venture Capital",,,
Silicon Catalyst,2,"Santa Clara, California, United States",,"Artificial Intelligence, Biotechnology, Data Center, Electronics, Hardware, Machine Learning, Mobile, Power Grid, Semiconductor, Transportation, Wireless",,,
Kyowa Hakko Kirin,1,"Tokyo, Tokyo, Japan",5/14/1999,"Biotechnology, Medical, Pharmaceutical",,,
BioAdvance,180,"Philadelphia, Pennsylvania, United States",,"Biotechnology, Life Science, Venture Capital",,,
Gilde Healthcare,70,"Utrecht, Utrecht, The Netherlands",,"Biotechnology, Finance, Health Care, Health Diagnostics, Home Health Care, Medical Device, mHealth, Venture Capital",,,
Cognosante,2,"Mclean, Virginia, United States",,"Health Care, Information Technology",,,
Global Health Investment Fund (GHIF),12,"New York, New York, United States",,"Biotechnology, Financial Services, Health Care",,,
K5 Ventures,46,"Newport Beach, California, United States",,"Automotive, Data Visualization, Health Care, Information Technology, Internet of Things, Machine Learning, Marketing Automation, Robotics",,,
Alix Ventures,1,"San Francisco, California, United States",,"Biotechnology, Health Care",,,
Swiss Life,5,"Zürich, Zurich, Switzerland",,"Bitcoin, Health Care, Insurance",,,
Triventures,26,"Herzliya, Tel Aviv, Israel",,"Cyber Security, Medical, Medical Device, mHealth, Venture Capital",,,
Techammer,74,"New York, New York, United States",,"Big Data, Enterprise Software, Health Care, Venture Capital",,,
Nypro,2,"Clinton, Massachusetts, United States",2/4/2013,"Manufacturing, Medical, Plastics and Rubber Manufacturing",,,
Merck Capital Ventures,13,"Woodcliff Lake, New Jersey, United States",,"Biotechnology, Finance, Venture Capital",,,
Primus Capital Partners,15,"Cleveland, Ohio, United States",,"E-Commerce, Education, Financial Services, FinTech, Health Care, Information Technology, Internet, Software",,,
HALLEY Venture Partners,7,,,"Agriculture, Biotechnology, Building Material, Cannabis, Consulting, Legal, Life Science, Media and Entertainment, Real Estate, Software",,,
Biomatics Capital Partners,19,"Seattle, Washington, United States",,"Health Care, Life Science, Venture Capital",,,
Cardinal Partners,52,"Princeton, New Jersey, United States",,"Health Care, Impact Investing, Venture Capital",,,
Relentless Pursuit Partners,4,"Vancouver, British Columbia, Canada",,"Consulting, Health Care, Sports",,,
Pereg Ventures,18,"New York, New York, United States",,"Analytics, Artificial Intelligence, Big Data, Consumer Goods, Digital Media, Health Care, Logistics, Machine Learning, Marketing, Retail Technology",,,
OneTraction,1,"San Francisco, California, United States",,"Bitcoin, E-Commerce, EdTech, Health Care, Internet of Things, Mobile Payments, Wearables",,,
Emergent Medical Partners,28,"Portola Valley, California, United States",,"Financial Services, Medical, Venture Capital",,,
MedStar Health,1,"Columbia, Maryland, United States",,"Health Care, Medical, Neuroscience",,,
Alloy Ventures,171,"Palo Alto, California, United States",,"Biotechnology, Financial Services, Venture Capital",,,
Pacira Pharmaceuticals,1,"San Diego, California, United States",2/3/2011,"Biotechnology, Health Care, Pharmaceutical",,,
Excel Venture Management,40,"Boston, Massachusetts, United States",,"Biotechnology, Health Care, Medical Device",,,
Kairous Capital,7,"Kuala Lumpur, Kuala Lumpur, Malaysia",,"FinTech, Health Care, Hospitality, InsurTech, Retail Technology, Smart Cities",,,
Encompass Health Corp.,1,"Birmingham, Alabama, United States",1/10/2003,"Health Care, Medical",,,
Greatbatch,3,"Frisco, Texas, United States",10/6/2000,"Health Care, Manufacturing",,,
Baptist Health,2,"Sunrise, Florida, United States",,Health Care,,,
Heidelberg Engineering,1,"Heidelberg, Baden-Wurttemberg, Germany",,"Health Care, Information Technology, Manufacturing, Medical Device",,,
Universal Health Services,1,"King Of Prussia, Pennsylvania, United States",7/17/1981,Health Care,,,
Molnlycke Health Care,1,"Gothenburg, Vastra Gotaland, Sweden",1/26/2007,"Health Care, Manufacturing, Medical Device",,,
Health Enterprise Partners,24,"New York, New York, United States",,"Biotechnology, Health Care, Venture Capital",,,
Vinnova,28,"Stockholm, Stockholms Lan, Sweden",,"Communities, Finance, Financial Services, Government, Health Care, Universities",,,
VA Angels,184,"Calgary, Alberta, Canada",,Health Care,,,
CooperSurgical,1,"Trumbull, Connecticut, United States",,"Health Care, Medical Device",,,
B. Braun Medical,2,"Bethlehem, Pennsylvania, United States",,"Clinical Trials, Education, Health Care, Pharmaceutical",,,
Easton Capital,59,"New York, New York, United States",,"Finance, Health Care, Venture Capital",,,
Vesalius Biocapital Partners,33,"Strassen, Luxembourg, Luxembourg",,"Biotechnology, Financial Services, Venture Capital",,,
UPMC,21,"Pittsburgh, Pennsylvania, United States",,"Health Care, Medical",,,
SineWave Ventures,13,"Washington, District of Columbia, United States",,"Analytics, Cyber Security, Education, Enterprise Software, Financial Services, Health Care, Information Technology, Infrastructure",,,
Magellan Health Services,2,"Avon, Connecticut, United States",1/16/2004,"Biotechnology, Health Care, Hospital",,,
Gurnet Point Capital,7,"Cambridge, Massachusetts, United States",,"Biotechnology, Energy, Health Care, Medical Device, Pharmaceutical",,,
Bayer CropScience,,"Monheim, Bayern, Germany",,"Biotechnology, Health Care, Life Science",,,
Endeavour Vision,44,"Geneva, Geneve, Switzerland",,"Health Care, Health Diagnostics, Medical, Medical Device, mHealth",,,
EDF Ventures,40,"Ann Arbor, Michigan, United States",,"Biotechnology, Health Care, Venture Capital",,,
Fluxunit - Osram Ventures,9,"München, Bayern, Germany",,"Augmented Reality, Autonomous Vehicles, Farming, Horticulture, Lighting, Medical, Robotics, Semiconductor, Venture Capital, Virtual Reality",,,
Lemhi Ventures,18,"Wayzata, Minnesota, United States",,"Enterprise Software, Health Care, Venture Capital",,,
ARUP Laboratories,2,"Salt Lake City, Utah, United States",,Biotechnology,,,
SBRI Healthcare,180,"Cambridge, Cambridgeshire, United Kingdom",,"Finance, Financial Services, Health Care",,,
MultiPlan,1,"New York, New York, United States",5/5/2016,"Analytics, Health Care, Hospital",,,
Cochlear,4,"Sydney, New South Wales, Australia",4/1/1999,"Biotechnology, Health Care, Medical Device",,,
Substance Abuse and Mental Health Services Administration,2,"Rockville, Maryland, United States",,Health Care,,,
Kensey Nash Corporation,1,"Exton, Pennsylvania, United States",6/25/2012,"Biotechnology, Health Care, Medical Device",,,
Tablomonto Ventures,11,"Laren, Noord-Holland, The Netherlands",,"Consumer Goods, Consumer Software, E-Commerce, FinTech, Health Care, InsurTech, Internet, Software, Subscription Service, Venture Capital",,,
TriZetto,2,"Greenwood Village, Colorado, United States",10/8/1999,"Electronics, Health Care, Information Technology, Medical, Software",,,
Dr. Reddy’s Laboratories Ltd.,1,"Hyderabad, Andhra Pradesh, India",12/5/2003,"Health Care, Medical",,,
FCA Venture Partners,48,"Brentwood, Tennessee, United States",,"Health Care, Venture Capital",,,
Burrill & Company,85,"San Francisco, California, United States",,"Biotechnology, Finance, Venture Capital",,,
Mundipharma,1,"Cambridge, Cambridgeshire, United Kingdom",,Pharmaceutical,,,
Particle Accelerator Limited,1,"Shenzhen, Guangdong, China",,"Artificial Intelligence, Big Data, Biotechnology, Blockchain, eSports, FinTech, GreenTech, Intelligent Systems, Internet of Things, Smart Cities",,,
Boston Millennia Partners,87,"Boston, Massachusetts, United States",,"Health Care, Information Technology, Pharmaceutical, SaaS, Venture Capital",,,
Catholic Health Initiatives,5,"Englewood, Colorado, United States",2/1/2019,"Health Care, Hospital, Medical, Non Profit",,,
DEFTA Partners,20,"San Francisco, California, United States",,"Health Care, Information Technology, Venture Capital",,,
Ridgemont Equity Partners,7,"Charlotte, North Carolina, United States",,"Finance, Health Care, Impact Investing",,,
LRVHealth,42,"Boston, Massachusetts, United States",,"Enterprise, Health Care, Media and Entertainment, Medical Device, SaaS, Security",,,
Kuwait Life Sciences Company,3,"Safat, Al Kuwayt, Kuwait",,"Health Care, Health Diagnostics, Information Technology, mHealth",,,
Biomedical Advanced Research and Development Authority (BARDA),7,"Washington, District of Columbia, United States",,Biotechnology,,,
Chrysalis Ventures,68,"Louisville, Kentucky, United States",,"Health Care, Information Technology, Venture Capital",,,
Flying L Partners,4,"Steamboat Springs, Colorado, United States",,"Finance, Financial Services, Health Care, Venture Capital",,,
Remeditex Ventures,18,"Dallas, Texas, United States",,"Biotechnology, Health Care, Venture Capital",,,
MEDTEQ,9,"Montreal, Quebec, Canada",,"Electronic Health Record (EHR), Health Care, Health Diagnostics, Health Insurance, Home Health Care, Medical, Medical Device, Personal Health",,,
Sun Mountain Capital,36,"Santa Fe, New Mexico, United States",,"Angel Investment, Biotechnology, Enterprise Software",,,
Johnson & Johnson Development Corporation,150,"New Brunswick, New Jersey, United States",,"Biotechnology, Consumer, Health Care, Medical Device, Pharmaceutical",,,
Cybernaut Venture Capital,17,"Hangzhou, Zhejiang, China",,"Finance, Health Care, Venture Capital",,,
Danisco A/S,3,"Copenhagen, Hovedstaden, Denmark",1/9/2011,"Biotechnology, Dietary Supplements, Health Care",,,
Sidebench,1,"Los Angeles, California, United States",,"Health Care, Mobile, Software, Virtual Reality, Web Apps",,,
BioVeda Capital,10,"Singapore, Central Region, Singapore",,"Health Care, Impact Investing, Life Science, Medical",,,
Digital Science,20,"London, England, United Kingdom",,"Biotechnology, Finance, Software",,,
Delta Dental,1,"Oak Brook, Illinois, United States",,Health Care,,,
HBM Healthcare Investments AG,122,"Zug, Zug, Switzerland",,"Biotechnology, Finance, Financial Services, Medical, Venture Capital",,,
Metalmark Capital,4,"New York, New York, United States",,"Energy, Health Care, Industrial, Venture Capital",,,
CalPERS,3,"Sacramento, California, United States",,"Association, Government, Health Care, Retirement",,,
Esperante Ventures,15,"Hoofddorp, Noord-Holland, The Netherlands",,"Biotechnology, Health Care, Venture Capital",,,
Alzheimer's Drug Discovery Foundation,11,"New York, New York, United States",,Biotechnology,,,
Independence Blue Cross,7,"Philadelphia, Pennsylvania, United States",,"E-Commerce, Health Care, Health Insurance, Medical",,,
Tenet Healthcare Corporation,4,"Dallas, Texas, United States",1/13/1978,"Biotechnology, Health Care, Hospital",,,
U.S. Food and Drug Administration,7,"Silver Spring, Maryland, United States",,"Cosmetics, Health Care, Medical",,,
"Orthofix, Inc",2,"Lewisville, Texas, United States",5/1/1992,"Biotechnology, Health Care, Medical",,,
